date,deflection,temperature,OW1,OW2,T1(1-3),T1(2-4),T2(1-3),T2(2-4),T3(1-3),T3(2-4),T4(1-3),T4(2-4),T5(1-3),T5(2-4),T6(1-3),T6(2-4),number,SO1(1.5),SO1(2.5),SO1(3.5),SO2(0.5),SO2(10.5),SO2(11.0)
103/2/24,581.95 ,17.0 ,-1.70,-8.40,0.000280 ,-0.000180 ,0.000080 ,-0.000080 ,-0.000500 ,0.000880 ,-0.000300 ,-0.000020 ,-0.000320 ,-0.001240 ,-0.000340 ,0.000300 ,23712,0,0,0,0,0,0
103/3/20,583.92 ,17.3 ,-1.82,-8.10,0.000200 ,-0.000220 ,0.000240 ,0.000100 ,-0.000480 ,0.000920 ,-0.000260 ,-0.000040 ,-0.000180 ,-0.001220 ,-0.000240 ,0.000340 ,29184,0,0,0,0,0,0
103/4/23,584.49 ,15.4 ,-1.82,-7.96,0.000320 ,-0.000100 ,0.000240 ,-0.000240 ,-0.000480 ,0.001200 ,-0.000220 ,-0.000040 ,0.000100 ,-0.001340 ,-0.000140 ,0.000200 ,35282,0,0,0,0,0,0
103/5/28,588.86 ,23.9 ,-1.68,-7.95,0.000320 ,-0.000120 ,0.000220 ,-0.000060 ,-0.000480 ,0.001120 ,-0.000220 ,0.000020 ,0.000100 ,-0.001380 ,-0.000220 ,0.000280 ,43399,0,0,0,0,0,0
103/6/23,590.48 ,25.0 ,-0.92,-7.21,0.000200 ,-0.000220 ,0.000140 ,0.000020 ,-0.000540 ,0.001200 ,-0.000180 ,0.000140 ,0.000160 ,-0.001300 ,-0.000080 ,0.000360 ,59634,0,0,0,0,0,0
103/7/28,588.22 ,28.1 ,-1.70,-7.58,0.000560 ,-0.000020 ,0.000300 ,0.000120 ,-0.000560 ,0.001160 ,-0.000080 ,0.000060 ,0.000180 ,-0.001280 ,-0.000140 ,0.000220 ,50826,0,0,0,0,0,0
103/8/29,588.29 ,28.8 ,-1.50,-7.30,0.000340 ,-0.000200 ,0.000400 ,0.000060 ,-0.000560 ,0.001120 ,-0.000180 ,0.000000 ,0.000400 ,-0.001380 ,-0.000240 ,0.000360 ,41251,0,0,0,0,0,0
103/9/27,586.42 ,25.1 ,-2.18 ,-7.42 ,0.000420 ,0.000000 ,0.000880 ,-0.000800 ,-0.000560 ,0.001160 ,-0.000040 ,0.000000 ,0.000120 ,-0.001440 ,-0.000220 ,0.000560 ,39462,0,0,0,0,0,0
103/10/31,586.44 ,23.3 ,-2.1,-8.88,0.000180 ,-0.000100 ,0.000680 ,-0.000220 ,-0.000620 ,0.000980 ,-0.000280 ,-0.000080 ,-0.000020 ,-0.001400 ,-0.000360 ,0.000580 ,31999,0,0,0,0,0,0
103/11/12,585.72 ,16.9 ,-2.64 ,-7.78 ,0.000100 ,-0.000160 ,0.000400 ,-0.000180 ,-0.000680 ,0.001060 ,-0.000320 ,0.000000 ,0.000120 ,-0.001440 ,-0.000260 ,0.000480 ,24841,0,0,0,0,0,0
104/1/5,584.31 ,17.4 ,-2.40 ,-7.68 ,0.000100 ,0.000040 ,0.000340 ,0.000160 ,-0.000780 ,0.001220 ,-0.000340 ,-0.000020 ,0.000060 ,-0.001360 ,-0.000140 ,0.000440 ,26023,0,0,0,0,0,0
