date,deflection,temperature,OW1,OW2,T1(1-3),T1(2-4),T2(1-3),T2(2-4),T3(1-3),T3(2-4),T4(1-3),T4(2-4),T5(1-3),T5(2-4),T6(1-3),T6(2-4),number,SO1(1.5),SO1(2.5),SO1(3.5),SO2(0.5),SO2(10.5),SO2(11.0)
109/5/5,587.38 ,25.4 ,-1.77 ,-5.80 ,-0.000040 ,0.000060 ,-0.000080 ,0.000200 ,0.000080 ,0.000060 ,-0.000380 ,0.000160 ,-0.000340 ,0.000180 ,-0.000240 ,0.000240 ,58458,0.25 ,0.26 ,0.28 ,0.30 ,0.10 ,0.14 
109/6/4,590.74 ,29.4 ,-1.90 ,-5.91 ,0.000020 ,0.000140 ,-0.000120 ,0.000180 ,0.000060 ,0.000000 ,-0.000380 ,0.000200 ,-0.000400 ,0.000260 ,-0.000280 ,0.000200 ,51314,0.22 ,0.22 ,0.19 ,0.21 ,0.01 ,0.06 
109/7/3,588.44 ,29.4 ,-1.60 ,-6.08 ,0.000040 ,0.000080 ,-0.000040 ,0.000160 ,0.000040 ,0.000060 ,-0.000500 ,0.000220 ,-0.000220 ,0.000140 ,-0.000360 ,0.000120 ,29561,0.16 ,0.15 ,0.14 ,0.29 ,0.06 ,0.11 
109/8/3,587.23 ,24.3 ,-1.78 ,-6.25 ,0.000040 ,0.000040 ,-0.000100 ,0.000200 ,0.000020 ,0.000040 ,-0.000520 ,0.000280 ,-0.000020 ,0.000200 ,-0.000380 ,0.000000 ,31258,0.13 ,0.11 ,0.09 ,0.30 ,0.00 ,0.06 
109/9/2,589.35 ,27.9 ,-1.30 ,-5.72 ,0.000080 ,0.000060 ,-0.000120 ,0.000180 ,0.000040 ,0.000100 ,-0.000500 ,0.000200 ,-0.000100 ,0.000340 ,-0.000460 ,-0.000080 ,36022,0.13 ,0.10 ,0.06 ,0.27 ,0.09 ,0.14 
109/10/8,586.52 ,20.1 ,-1.58 ,-6.33 ,0.000020 ,0.000180 ,-0.000120 ,0.000180 ,0.000000 ,0.000060 ,-0.000580 ,0.000260 ,-0.000040 ,0.000300 ,-0.000440 ,-0.000040 ,29845,0.10 ,0.05 ,0.01 ,0.23 ,0.06 ,0.12 
109/11/5,584.88 ,16.5 ,-1.39 ,-5.73 ,0.000020 ,0.000240 ,-0.000160 ,0.000120 ,-0.000020 ,0.000140 ,-0.000580 ,0.000260 ,0.000000 ,0.000280 ,-0.000500 ,-0.000140 ,19355,0.12 ,0.12 ,0.14 ,0.26 ,0.11 ,0.21 
109/12/4,584.84 ,13.8 ,-1.33 ,-5.29 ,0.000080 ,0.000220 ,-0.000120 ,0.000200 ,-0.000120 ,0.000200 ,-0.000600 ,0.000400 ,0.000060 ,0.000220 ,-0.000480 ,-0.000220 ,22732,0.21 ,0.21 ,0.23 ,0.23 ,0.15 ,0.25 
110/1/6,583.79 ,11.5 ,-1.11 ,-5.17 ,0.000120 ,0.000140 ,-0.000060 ,0.000160 ,-0.000040 ,0.000220 ,-0.000580 ,0.000380 ,0.000180 ,0.000140 ,-0.000560 ,-0.000260 ,47840,0.33 ,0.32 ,0.33 ,0.18 ,0.15 ,0.28 
110/2/8,584.57 ,16.2 ,-1.22 ,-6.08 ,0.000180 ,0.000200 ,-0.000080 ,0.000120 ,-0.000040 ,0.000260 ,-0.000620 ,0.000400 ,0.000240 ,0.000200 ,-0.000540 ,-0.000320 ,41138,0.37 ,0.34 ,0.31 ,0.29 ,0.15 ,0.30 
110/3/3,583.46 ,13.2 ,-1.22 ,-5.64 ,0.000100 ,0.000140 ,-0.000100 ,0.000080 ,0.000080 ,0.000120 ,-0.000640 ,0.000320 ,0.000160 ,0.000260 ,-0.000460 ,-0.000200 ,37041,0.38 ,0.38 ,0.37 ,0.18 ,0.14 ,0.22 
110/4/7,583.94 ,16.7 ,-0.78 ,-5.25 ,-0.000060 ,0.000300 ,-0.000040 ,0.000200 ,-0.000040 ,0.000020 ,-0.000380 ,-0.000180 ,0.000240 ,-0.000360 ,-0.000580 ,0.000540 ,60699,0.27 ,0.30 ,0.29 ,0.36 ,0.15 ,0.20 
110/4/29,583.91 ,16.4 ,-0.91,-5.59,-0.000260 ,0.000400 ,0.000860 ,0.000120 ,-0.000180 ,0.000280 ,-0.000420 ,-0.001020 ,0.000260 ,0.000140 ,-0.000400 ,-0.000140 ,77808,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
110/6/1,585.63 ,20.6 ,-0.89,-5.6,-0.000320 ,0.000500 ,0.000200 ,0.000260 ,-0.000140 ,0.000020 ,-0.000400 ,-0.000080 ,0.000220 ,0.000140 ,-0.000400 ,0.000600 ,48537,0.09 ,0.04 ,0.13 ,-0.05 ,-0.07 ,-0.02 
110/7/5,587.93 ,29.4 ,-0.81,-5.75,-0.000300 ,0.000420 ,0.000020 ,0.000140 ,-0.000160 ,0.000200 ,-0.000480 ,-0.000100 ,0.000400 ,0.000300 ,-0.000260 ,0.000680 ,51877,-0.05 ,-0.25 ,-0.05 ,-0.32 ,-0.42 ,-0.35 
110/8/2,588.60 ,33.0 ,-1.57,-5.66,-0.000500 ,0.000460 ,-0.000020 ,0.000100 ,-0.000200 ,0.000160 ,-0.000780 ,-0.000080 ,0.000580 ,0.000640 ,0.000040 ,0.000680 ,29221,-1.74 ,-1.24 ,-0.79 ,-0.72 ,-0.44 ,-0.35 
110/9/1,588.60 ,31.8 ,-1.68,-5.71,-0.000620 ,0.000500 ,0.000140 ,0.000040 ,-0.000040 ,0.000100 ,-0.000700 ,-0.000180 ,0.000080 ,0.000300 ,-0.000100 ,0.000640 ,17637,-0.87 ,-0.60 ,-0.29 ,-3.06 ,-1.74 ,-1.52 

